PRODNO,PRODNAME,PRODMFG,PRODQOH,PRODPRICE
P0036566,"17 inch Color Monitor","ColorMeg, Inc.",12,169
P0036577,"19 inch Color Monitor","ColorMeg, Inc.",10,319
P1114590,"R3000 Color Laser Printer",Connex,5,699
P1412138,"10 Foot Printer Cable",Ethlite,100,12
P1445671,"8-Outlet Surge Protector",Intersafe,33,15
P1556678,"CVP Ink Jet Color Printer",Connex,8,99
P3455443,"Color Ink Jet Cartridge",Connex,24,38
P4200344,"36-Bit Color Scanner","UV Components",16,200
P6677900,"Black Ink Jet Cartridge",Connex,44,26
P9995676,"Battery Back-up System",Cybercx,12,89
